ComicType,page_id,name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year,APPEARANCES_R,,,
dc,182635,Alton Janus (New Earth),\/wiki\/Alton_Janus_(New_Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,3,"2010, October",2010,0.0028960884,,,
dc,182630,Peter Hayes (New Earth),\/wiki\/Peter_Hayes_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,5,"2010, August",2010,0.0048268139,,,
dc,182358,Maxine Gibson (New Earth),\/wiki\/Maxine_Gibson_(New_Earth),Public Identity,Good Characters,Black Eyes,Purple Hair,Female Characters,straight,Living Characters,1,"2010, November",2010,0.0009653628,,,
dc,182115,Maxi-Man II (New Earth),\/wiki\/Maxi-Man_II_(New_Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,straight,Living Characters,1,"2007, May",2007,0.0009653628,,,
dc,181844,Merayn Dethalis (New Earth),\/wiki\/Merayn_Dethalis_(New_Earth),Public Identity,Good Characters,Yellow Eyes,Purple Hair,Female Characters,straight,Living Characters,36,"1993, December",1993,0.0347530602,,,
dc,181831,Boone (New Earth),\/wiki\/Boone_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,straight,Living Characters,16,"1999, October",1999,0.0154458045,,,
dc,181794,Mateo Burland (New Earth),\/wiki\/Mateo_Burland_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,straight,Living Characters,5,"2010, March",2010,0.0048268139,,,
dc,181737,Darrell Dane (New Earth),\/wiki\/Darrell_Dane_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,12,"1939, December",1939,0.0115843534,,,
dc,181484,Chief Justice (New Earth),\/wiki\/Chief_Justice_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,5,"2006, November",2006,0.0048268139,,,
dc,181364,Emma Glenn (New Earth),\/wiki\/Emma_Glenn_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,15,"2006, September",2006,0.0144804418,,,
dc,180844,Snowflame (New Earth),\/wiki\/Snowflame_(New_Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Male Characters,straight,Deceased Characters,1,"1988, October",1988,0.0009653628,,,
dc,180809,Yasemin Soze (New Earth),\/wiki\/Yasemin_Soze_(New_Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,straight,Deceased Characters,7,"2005, December",2005,0.0067575395,,,
dc,180640,Hila (New Earth),\/wiki\/Hila_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Purple Hair,Female Characters,straight,Living Characters,10,"2010, August",2010,0.0096536278,,,
dc,179849,Elizabeth Kane (New Earth),\/wiki\/Elizabeth_Kane_(New_Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,straight,Living Characters,13,"2009, August",2009,0.0125497162,,,
dc,179541,Winslow Heath (New Earth),\/wiki\/Winslow_Heath_(New_Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,straight,Living Characters,4,"2010, September",2010,0.0038614511,,,
dc,179471,Cassandra Craft (New Earth),\/wiki\/Cassandra_Craft_(New_Earth),Public Identity,Neutral Characters,Grey Eyes,White Hair,Female Characters,straight,Living Characters,13,"1972, February",1972,0.0125497162,,,
dc,178862,Dana Tan (New Earth),\/wiki\/Dana_Tan_(New_Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,straight,Living Characters,1,"2010, October",2010,0.0009653628,,,
dc,178598,Thormon Tox (New Earth),\/wiki\/Thormon_Tox_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,2,"2006, December",2006,0.0019307256,,,
dc,178464,Garrison Slate (New Earth),\/wiki\/Garrison_Slate_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,12,"1987, May",1987,0.0115843534,,,
dc,177820,Tiffany Fox (New Earth),\/wiki\/Tiffany_Fox_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,10,"1979, February",1979,0.0096536278,,,
dc,177751,Walter Steele (New Earth),\/wiki\/Walter_Steele_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,1,"2010, August",2010,0.0009653628,,,
dc,177696,Theta (New Earth),\/wiki\/Theta_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Female Characters,straight,Living Characters,3,"2001, September",2001,0.0028960884,,,
dc,177677,Isabel Rochev (New Earth),\/wiki\/Isabel_Rochev_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,6,"2010, August",2010,0.0057921767,,,
dc,177671,Philippus (New Earth),\/wiki\/Philippus_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,88,"1987, February",1987,0.0849519249,,,
dc,177624,Moira Queen (New Earth),\/wiki\/Moira_Queen_(New_Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,straight,Deceased Characters,5,1995,1995,0.0048268139,,,
dc,177623,Robert Henry Queen (New Earth),\/wiki\/Robert_Henry_Queen_(New_Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Male Characters,straight,Deceased Characters,5,1995,1995,0.0048268139,,,
dc,177580,Camorouge (New Earth),\/wiki\/Camorouge_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Female Characters,straight,Living Characters,11,"1995, January",1995,0.0106189906,,,
dc,176764,Vera Sweet (New Earth),\/wiki\/Vera_Sweet_(New_Earth),Public Identity,Neutral Characters,Green Eyes,Blond Hair,Female Characters,straight,Living Characters,6,"1968, June",1968,0.0057921767,,,
dc,176453,Oracle (New Earth),\/wiki\/Oracle_(New_Earth),Secret Identity,Good Characters,White Eyes,Blond Hair,Female Characters,straight,Living Characters,3,"2010, August",2010,0.0028960884,,,
dc,176259,Catwoman III (New Earth),\/wiki\/Catwoman_III_(New_Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,5,"2010, September",2010,0.0048268139,,,
dc,175577,Bizarro-Girl (New Earth),\/wiki\/Bizarro-Girl_(New_Earth),Public Identity,Neutral Characters,Red Eyes,Blond Hair,Female Characters,straight,Living Characters,6,"2010, August",2010,0.0057921767,,,
dc,175316,Lori Luthor (New Earth),\/wiki\/Lori_Luthor_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,15,"2009, October",2009,0.0144804418,,,
dc,175290,Hallucinatra (New Earth),\/wiki\/Hallucinatra_(New_Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,straight,Living Characters,3,"2002, August",2002,0.0028960884,,,
dc,175274,Nathaniel Dusk (New Earth),\/wiki\/Nathaniel_Dusk_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,9,"1984, February",1984,0.0086882651,,,
dc,175273,Myrwhydden (New Earth),\/wiki\/Myrwhydden_(New_Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,10,"1964, January",1964,0.0096536278,,,
dc,175258,Mara (New Earth),\/wiki\/Mara_(New_Earth),Public Identity,Good Characters,Violet Eyes,Blond Hair,Female Characters,straight,Living Characters,20,"1982, December",1982,0.0193072557,,,
dc,175256,Malagigi (New Earth),\/wiki\/Malagigi_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,straight,Living Characters,5,"1981, October",1981,0.0048268139,,,
dc,175236,Mallory Kimball (New Earth),\/wiki\/Mallory_Kimball_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Homosexual Characters,Living Characters,6,"2006, July",2006,0.0057921767,,,
dc,175199,F. Gaylord Clayburne III (New Earth),\/wiki\/F._Gaylord_Clayburne_III_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,6,"1963, February",1963,0.0057921767,,,
dc,174877,James Forrest (New Earth),\/wiki\/James_Forrest_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,24,"2009, July",2009,0.0231687068,,,
dc,174434,Amparo Cardenas (New Earth),\/wiki\/Amparo_Cardenas_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,16,"2006, July",2006,0.0154458045,,,
dc,174406,Gavril Ivanovich (New Earth),\/wiki\/Gavril_Ivanovich_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,21,"2010, August",2010,0.0202726185,,,
dc,174276,Shiera Sanders (New Earth),\/wiki\/Shiera_Sanders_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,straight,Living Characters,219,"1940, January",1940,0.2114144496,,,
dc,174205,Richard Starr (New Earth),\/wiki\/Richard_Starr_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,59,"1958, August",1958,0.0569564042,,,
dc,173487,Empathy (New Earth),\/wiki\/Empathy_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,straight,Living Characters,2,"2008, March",2008,0.0019307256,,,
dc,173445,Nasreen Samari (New Earth),\/wiki\/Nasreen_Samari_(New_Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,straight,Living Characters,4,"2010, July",2010,0.0038614511,,,
dc,173440,Mary James (New Earth),\/wiki\/Mary_James_(New_Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,straight,Deceased Characters,35,"1940, October",1940,0.0337876974,,,
dc,173437,Martha Clark (New Earth),\/wiki\/Martha_Clark_(New_Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,straight,Living Characters,266,"1986, October",1986,0.2567865004,,,
dc,173417,Atlas (New Earth),\/wiki\/Atlas_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,16,"1975, April",1975,0.0154458045,,,
dc,173272,Jack Latham (New Earth),\/wiki\/Jack_Latham_(New_Earth),Public Identity,Good Characters,Black Eyes,Grey Hair,Male Characters,straight,Living Characters,16,"2009, October",2009,0.0154458045,,,
dc,173257,Carrie Cutter (New Earth),\/wiki\/Carrie_Cutter_(New_Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,straight,Living Characters,14,"2009, February",2009,0.013515079,,,
dc,173238,Paul Dekker (New Earth),\/wiki\/Paul_Dekker_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,14,"1946, June",1946,0.013515079,,,
dc,172774,Brigadoom (New Earth),\/wiki\/Brigadoom_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,straight,Living Characters,1,"2010, August",2010,0.0009653628,,,
dc,172451,Strong Bow (New Earth),\/wiki\/Strong_Bow_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Deceased Characters,41,"1951, May",1951,0.0395798741,,,
dc,172447,Elpis (New Earth),\/wiki\/Elpis_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,straight,Living Characters,15,"1975, June",1975,0.0144804418,,,
dc,172443,Clifton Lacey (New Earth),\/wiki\/Clifton_Lacey_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,2,"1976, May",1976,0.0019307256,,,
dc,172438,Shellshock (New Earth),\/wiki\/Shellshock_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Green Hair,Female Characters,straight,Living Characters,3,"1994, July",1994,0.0028960884,,,
dc,172397,Epsilon (New Earth),\/wiki\/Epsilon_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,straight,Deceased Characters,14,"2000, November",2000,0.013515079,,,
dc,172220,Blitzkrieg (New Earth),\/wiki\/Blitzkrieg_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,3,"2007, June",2007,0.0028960884,,,
dc,172069,Simon Lippman (New Earth),\/wiki\/Simon_Lippman_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,10,"2004, January",2004,0.0096536278,,,
dc,172063,Backstabber (New Earth),\/wiki\/Backstabber_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,1,"1994, April",1994,0.0009653628,,,
dc,172060,Azure (New Earth),\/wiki\/Azure_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,6,"1989, July",1989,0.0057921767,,,
dc,171883,Amok (New Earth),\/wiki\/Amok_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,1,"2003, March",2003,0.0009653628,,,
dc,171054,Carl Worth (New Earth),\/wiki\/Carl_Worth_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,15,"2005, October",2005,0.0144804418,,,
dc,171039,Agni (New Earth),\/wiki\/Agni_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,8,"1988, September",1988,0.0077229023,,,
dc,170886,Deathwing (Team Titans),\/wiki\/Deathwing_(Team_Titans),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,16,1991,1991,0.0154458045,,,
dc,170834,Acolyte (New Earth),\/wiki\/Acolyte_(New_Earth),Secret Identity,Bad Characters,Red Eyes,Blue Hair,Male Characters,straight,Living Characters,2,"1999, June",1999,0.0019307256,,,
dc,170437,Tiger (New Earth),\/wiki\/Tiger_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,10,"1999, September",1999,0.0096536278,,,
dc,170230,Trevor Barnes (New Earth),\/wiki\/Trevor_Barnes_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Deceased Characters,18,"2001, July",2001,0.0173765301,,,
dc,169684,Gayle Marsh (New Earth),\/wiki\/Gayle_Marsh_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,straight,Deceased Characters,9,"1982, November",1982,0.0086882651,,,
dc,168475,Paul Lincoln (New Earth),\/wiki\/Paul_Lincoln_(New_Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,straight,Living Characters,10,"2010, July",2010,0.0096536278,,,
dc,167101,Sebastian Rothschild (New Earth),\/wiki\/Sebastian_Rothschild_(New_Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,2,"2010, April",2010,0.0019307256,,,
dc,166247,Lyle Blanco (New Earth),\/wiki\/Lyle_Blanco_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,2,"2009, October",2009,0.0019307256,,,
dc,166039,Chay-Ara (New Earth),\/wiki\/Chay-Ara_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,17,"1940, January",1940,0.0164111673,,,
dc,165923,Doctor Gotham (New Earth),\/wiki\/Doctor_Gotham_(New_Earth),Identity Unknown,Bad Characters,Blue Eyes,White Hair,Male Characters,straight,Deceased Characters,14,"2006, November",2006,0.013515079,,,
dc,165918,Achilles Warkiller (New Earth),\/wiki\/Achilles_Warkiller_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Homosexual Characters,Living Characters,17,"2009, May",2009,0.0164111673,,,
dc,165774,Frank Halloran (New Earth),\/wiki\/Frank_Halloran_(New_Earth),Secret Identity,Neutral Characters,Photocellular Eyes,Blond Hair,Male Characters,straight,Deceased Characters,5,"2007, June",2007,0.0048268139,,,
dc,164940,Maaldor (New Earth),\/wiki\/Maaldor_(New_Earth),Public Identity,Bad Characters,Red Eyes,Red Hair,Male Characters,straight,Deceased Characters,11,"1983, April",1983,0.0106189906,,,
dc,164928,Heggra (New Earth),\/wiki\/Heggra_(New_Earth),Public Identity,Bad Characters,Black Eyes,Red Hair,Female Characters,straight,Living Characters,4,"1972, March",1972,0.0038614511,,,
dc,164926,Tigra (New Earth),\/wiki\/Tigra_(New_Earth),Public Identity,Neutral Characters,Black Eyes,Red Hair,Female Characters,straight,Deceased Characters,11,"1972, March",1972,0.0106189906,,,
dc,164784,Avia (New Earth),\/wiki\/Avia_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,straight,Deceased Characters,6,"1972, March",1972,0.0057921767,,,
dc,164720,Funnel (New Earth),\/wiki\/Funnel_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Female Characters,straight,Living Characters,4,"2010, February",2010,0.0038614511,,,
dc,164207,Anna Fortune (New Earth),\/wiki\/Anna_Fortune_(New_Earth),Secret Identity,Good Characters,Gold Eyes,Blond Hair,Female Characters,straight,Living Characters,15,"2010, June",2010,0.0144804418,,,
dc,164152,Haifisch (New Earth),\/wiki\/Haifisch_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,straight,Deceased Characters,6,"1984, April",1984,0.0057921767,,,
dc,164147,Kana (Earth-One),\/wiki\/Kana_(Earth-One),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,4,"1981, August",1981,0.0038614511,,,
dc,164102,Lori Lemaris (New Earth),\/wiki\/Lori_Lemaris_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,27,"1987, December",1987,0.0260647952,,,
dc,162820,Dark Opal (New Earth),\/wiki\/Dark_Opal_(New_Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Male Characters,straight,Deceased Characters,27,"1983, April",1983,0.0260647952,,,
dc,162423,Esak (New Earth),\/wiki\/Esak_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,11,"1971, September",1971,0.0106189906,,,
dc,162352,Casey Krinsky (New Earth),\/wiki\/Casey_Krinsky_(New_Earth),Public Identity,Bad Characters,Hazel Eyes,Blond Hair,Female Characters,straight,Living Characters,2,"2004, October",2004,0.0019307256,,,
dc,162311,Terri Henshaw (New Earth),\/wiki\/Terri_Henshaw_(New_Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Female Characters,straight,Deceased Characters,7,"1990, May",1990,0.0067575395,,,
dc,162136,Queen Clea (New Earth),\/wiki\/Queen_Clea_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,straight,Living Characters,10,"1944, March",1944,0.0096536278,,,
dc,161468,Nelson Mandutu (New Earth),\/wiki\/Nelson_Mandutu_(New_Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,2,"1986, August",1986,0.0019307256,,,
dc,161262,Jean-Paul Ludovic Valley (New Earth),\/wiki\/Jean-Paul_Ludovic_Valley_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Deceased Characters,10,"1992, October",1992,0.0096536278,,,
dc,161146,Narmea (New Earth),\/wiki\/Narmea_(New_Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"1990, March",1990,0.0048268139,,,
dc,161138,Dardanus (New Earth),\/wiki\/Dardanus_(New_Earth),Public Identity,Bad Characters,Black Eyes,Blond Hair,Male Characters,straight,Deceased Characters,6,"1990, March",1990,0.0057921767,,,
dc,161135,Maia (New Earth),\/wiki\/Maia_(New_Earth),Public Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,straight,Living Characters,1,"1990, April",1990,0.0009653628,,,
dc,161134,Britton (New Earth),\/wiki\/Britton_(New_Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,1,"1990, April",1990,0.0009653628,,,
dc,161133,Bazil (New Earth),\/wiki\/Bazil_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,7,"1990, March",1990,0.0067575395,,,
dc,161132,Alloroc (New Earth),\/wiki\/Alloroc_(New_Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Male Characters,straight,Living Characters,3,"1990, March",1990,0.0028960884,,,
dc,161068,Astrild Storm-Daughter (New Earth),\/wiki\/Astrild_Storm-Daughter_(New_Earth),Public Identity,Bad Characters,White Eyes,Black Hair,Female Characters,straight,Deceased Characters,12,"2009, June",2009,0.0115843534,,,
dc,160947,Wyynde (New Earth),\/wiki\/Wyynde_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,24,"1982, April",1982,0.0231687068,,,
dc,160727,Jakob Whorrsman (New Earth),\/wiki\/Jakob_Whorrsman_(New_Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,5,1992,1992,0.0048268139,,,
dc,160681,Pinky Butler (New Earth),\/wiki\/Pinky_Butler_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,3,"1996, February",1996,0.0028960884,,,
dc,160273,Barbara Eileen Gordon (New Earth),\/wiki\/Barbara_Eileen_Gordon_(New_Earth),Public Identity,Good Characters,Hazel Eyes,Red Hair,Female Characters,straight,Living Characters,29,"1987, February",1987,0.0279955207,,,
dc,159982,Lart (New Earth),\/wiki\/Lart_(New_Earth),Public Identity,Good Characters,Black Eyes,Blond Hair,Male Characters,straight,Living Characters,11,"1968, May",1968,0.0106189906,,,
dc,159749,Chen Nuo (New Earth),\/wiki\/Chen_Nuo_(New_Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,3,"2006, June",2006,0.0028960884,,,
dc,159164,Hollika Rahn (New Earth),\/wiki\/Hollika_Rahn_(New_Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Female Characters,straight,Deceased Characters,12,"1983, April",1983,0.0115843534,,,
dc,159043,Vivienne (New Earth),\/wiki\/Vivienne_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,straight,Living Characters,1,"2010, February",2010,0.0009653628,,,
dc,158809,Wolf (New Earth),\/wiki\/Wolf_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,straight,Living Characters,3,"2010, February",2010,0.0028960884,,,
dc,158200,Arthur Pendragon (New Earth),\/wiki\/Arthur_Pendragon_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,41,"1936, February",1936,0.0395798741,,,
dc,157989,William von Hammer (New Earth),\/wiki\/William_von_Hammer_(New_Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,straight,Living Characters,1,"2009, August",2009,0.0009653628,,,
dc,157499,Burn (New Earth),\/wiki\/Burn_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Deceased Characters,5,"2008, May",2008,0.0048268139,,,
dc,157476,Sandra Hawke (New Earth),\/wiki\/Sandra_Hawke_(New_Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Female Characters,straight,Living Characters,7,"1994, November",1994,0.0067575395,,,
dc,157434,Titus (New Earth),\/wiki\/Titus_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Deceased Characters,4,"2008, March",2008,0.0038614511,,,
dc,157169,Sac (New Earth),\/wiki\/Sac_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,3,"2010, January",2010,0.0028960884,,,
dc,157076,Vitoria (New Earth),\/wiki\/Vitoria_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,4,"2009, December",2009,0.0038614511,,,
dc,156911,Madame X (New Earth),\/wiki\/Madame_X_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Female Characters,straight,Living Characters,2,"2002, January",2002,0.0019307256,,,
dc,156894,Jackanapes (New Earth),\/wiki\/Jackanapes_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,3,"2007, July",2007,0.0028960884,,,
dc,156750,Big Thunder (New Earth),\/wiki\/Big_Thunder_(New_Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Homosexual Characters,Living Characters,1,"2006, April",2006,0.0009653628,,,
dc,156530,Zebra-Man II (New Earth),\/wiki\/Zebra-Man_II_(New_Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,straight,Living Characters,3,"1987, July",1987,0.0028960884,,,
dc,156379,Joanna Tanner (New Earth),\/wiki\/Joanna_Tanner_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,straight,Deceased Characters,7,"2003, July",2003,0.0067575395,,,
dc,156351,Rose Levin (New Earth),\/wiki\/Rose_Levin_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,10,"2007, October",2007,0.0096536278,,,
dc,155996,William Wildeagle (New Earth),\/wiki\/William_Wildeagle_(New_Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,straight,Living Characters,5,"1991, July",1991,0.0048268139,,,
dc,155891,Byrna Brilyant (New Earth),\/wiki\/Byrna_Brilyant_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,straight,Deceased Characters,1,"2010, February",2010,0.0009653628,,,
dc,155814,Strobe (New Earth),\/wiki\/Strobe_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,straight,Living Characters,4,"1988, October",1988,0.0038614511,,,
dc,155600,Shuja (New Earth),\/wiki\/Shuja_(New_Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,3,"2009, November",2009,0.0028960884,,,
dc,155572,Ice Man (New Earth),\/wiki\/Ice_Man_(New_Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,straight,Deceased Characters,8,"1991, October",1991,0.0077229023,,,
dc,155208,Grover Baines (New Earth),\/wiki\/Grover_Baines_(New_Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,straight,Living Characters,1,"1989, June",1989,0.0009653628,,,
dc,155002,Deanna Barr (New Earth),\/wiki\/Deanna_Barr_(New_Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"1997, November",1997,0.0048268139,,,
dc,154955,Nyola (Earth-Two),\/wiki\/Nyola_(Earth-Two),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,straight,Living Characters,5,"1940, September",1940,0.0048268139,,,
dc,154866,Edison (New Earth),\/wiki\/Edison_(New_Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,10,"2006, June",2006,0.0096536278,,,
dc,154815,Rodunn (New Earth),\/wiki\/Rodunn_(New_Earth),Public Identity,Good Characters,Grey Eyes,Brown Hair,Male Characters,straight,Living Characters,30,"2000, January",2000,0.0289608835,,,
dc,154295,William Twotrees (New Earth),\/wiki\/William_Twotrees_(New_Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,straight,Living Characters,12,"1994, December",1994,0.0115843534,,,
