ComicType,Characters,Dim1,Dim2,x1,y1
marvel,Marcus Daniels (Earth-616),0.292888377,0.161899512,,
marvel,Roger Norvell (Earth-616),0.2694927782,0.2094827033,,
marvel,Maelstrom (Earth-616),1.2713651699,0.2805966053,,
marvel,Ulysses Archer (Earth-616),0.2762326043,0.2216107338,,
marvel,Thomas Corsi (Earth-616),0.2655162744,0.2345635349,,
marvel,Prism (Robbie) (Earth-616),0.2848438154,0.1090969962,,
marvel,Samuel John LaRoquette (Earth-616),0.2947291899,0.1709304173,,
marvel,Marcy Pearson (Earth-616),0.1111463275,1.0360738482,,
marvel,Felix Alvarez (Earth-616),0.2686532381,0.2252187993,,
marvel,Malcolm McBride (Earth-616),0.2798054415,0.1091030511,,
marvel,Heather Tucker (Earth-616),1.1239563202,1.1591174859,,
marvel,Gudrun Tyburn (Earth-616),0.1654338359,0.8925058394,,
marvel,Roderick Campbell (Earth-616),0.2455002998,0.2758008766,,
marvel,Devlor (Earth-616),0.2730036928,0.2112213543,,
marvel,Samuel Par\u00e9 (Earth-616),1.2557930496,0.3812164094,,
marvel,Dale Yorkes (Earth-616),1.2647211821,0.3425306054,,
marvel,Deborah Fields (Earth-616),0.1570018829,0.9503823765,,
marvel,Sydren (Earth-616),0.2646463502,0.2210722011,,
marvel,Bob (Hydra Agent) (Earth-616),0.2425923229,0.2804331524,,
marvel,Fat Cobra (Earth-616),0.2628506673,0.2397122869,,
marvel,Timothy Dugan (Skrull) (Earth-616),1.2723309499,0.3260902397,,
marvel,Ai Apaec (Earth-616),1.2434155244,0.3173479793,,
marvel,Kirsten McDuffie (Earth-616),0.1198797479,1.0084097634,,
marvel,Emily Preston (Earth-616),0.0772590993,1.2656907311,,
marvel,Iara Dos Santos (Earth-616),0.128358952,1.0047305248,,
marvel,Kevin Connor (Earth-616),0.2330507986,0.2892844518,,
dc,Karras (New Earth),1.2277004617,0.4194255115,,
dc,Roland (New Earth),0.2539729609,0.2565152668,,
dc,Rose Lewis (New Earth),0.1383055906,0.9607106062,,
dc,Lori Lemaris (New Earth),0.1472278467,0.9658708551,,
dc,Dark Opal (New Earth),1.2610423587,0.3149584773,,
dc,Mona Taylor (New Earth),0.1775145329,0.9181524854,,
dc,Carmen Leno (New Earth),0.180581794,0.9053102522,,
dc,Lyssa Drak (New Earth),0.1737509986,0.8642601776,,
dc,Elizabeth Thorne (New Earth),0.1644140786,0.9487928875,,
dc,Martin van Wyck (New Earth),1.2854568907,0.3313012922,,
dc,Geoffrey Barron (New Earth),0.2759853466,0.2197418581,,
dc,Epoch (New Earth),0.3021445341,0.1693284501,,
dc,Rupert Thorne (New Earth),0.2850496336,0.1547030767,,
dc,Flora Black (New Earth),1.1019014745,1.0950658508,,
dc,Theresa Collins (New Earth),0.1521910984,0.9427119674,,
dc,Michael Christian Amar (New Earth),0.2989916603,0.1598120262,,
marvel,Jack Frost (Earth-616),0.2635890831,0.1679259168,,
marvel,Townshend Horgan (Earth-616),1.2779041407,0.3083918507,,
marvel,Hippolyta (Earth-616),0.1391357786,1.0000585068,,
marvel,Prester John (Johann) (Earth-616),1.2289644689,0.423941291,,
marvel,Gaza (Earth-616),0.2846310991,0.124308922,,
marvel,Anton Miguel Rodriquez (Earth-616),1.2806053798,0.3358056185,,
marvel,Kevin MacTaggert (Earth-616),0.2857821147,0.1075979851,,
marvel,Marian Pouncy (Earth-616),0.1836506036,0.8991970906,,
marvel,Sharon Friedlander (Earth-616),1.1431280869,1.114850842,,
marvel,Rae LaCoste (Earth-616),0.1309591487,0.9992248674,,
marvel,Carrie Alexander (Earth-616),0.1566650869,0.9508993985,,
marvel,Martin Soap (Earth-616),0.2684352381,0.229074113,,
marvel,Edith Sawyer (Earth-616),1.1407081835,1.0870230281,,
marvel,Esme Cuckoo (Earth-616),1.1718955162,1.0594785207,,
marvel,Ezekiel Sims (Earth-616),1.221534955,0.4480534893,,
marvel,Catherine Wilder (Earth-616),1.1571977167,1.0796408516,,
marvel,Michael van Patrick (Patrick) (Earth-616),0.2620261366,0.2398001131,,
marvel,Faiza Hussain (Earth-616),0.1570086709,0.9565303652,,
marvel,Leah (Earth-616),0.1063019489,1.0419532475,,
dc,Lord Garnet (New Earth),0.2494958557,0.260887507,,
dc,Pythia II (New Earth),0.1355998352,0.9568042666,,
dc,"James Gordon, Jr. (New Earth)",0.2772298393,0.1834302999,,
dc,Mi-Sun Kwon (New Earth),1.1388379991,1.1173241348,,
dc,Carl Andrew Bork (New Earth),0.2619527423,0.2398809086,,
dc,Wotan (New Earth),0.2934571327,0.178250186,,
dc,Isadora Wellington-Smythe (Dakotaverse),0.1574061793,0.9506311436,,
dc,Kevin Franklin (Dakotaverse),0.2635923184,0.2332669276,,
dc,Kahina Eskandari (Dakotaverse),0.1589875378,0.9533842473,,
dc,Susan Williams (New Earth),0.1543794787,0.9620372201,,
dc,Weng Chan (New Earth),0.2670439784,0.2330469654,,
dc,Evil Star (New Earth),0.2989788443,0.1725981981,,
dc,Sam Simeon (New Earth),0.273745236,0.2072943946,,
dc,Shyleen Lao (New Earth),1.1485593665,1.1053862015,,
dc,Summer Day (New Earth),1.1230447515,1.1593401796,,
dc,Matthew Ryder (Armageddon 2001),1.2614560333,0.3822958357,,
dc,Silver St. Cloud (New Earth),1.1102328622,1.154191336,,
marvel,Dionysus Acratophorus (Earth-616),0.2753855494,0.2194298837,,
marvel,Xemnu (Earth-616),0.2818271404,0.108797216,,
marvel,Gary Gilbert (Earth-616),1.2849314504,0.3245755577,,
marvel,Arnold Paffenroth (Earth-616),1.2855889022,0.3275766864,,
marvel,Carl Walker (Earth-616),0.2755983425,0.2150826324,,
marvel,Heather Duncan (Earth-616),1.1479532676,1.1103576102,,
marvel,James Scully (Earth-616),0.2656457577,0.2115524777,,
marvel,Moses Magnum (Earth-616),0.2956335517,0.1747546243,,
marvel,Janus Tepes (Earth-616),0.2582581987,0.1950719242,,
marvel,Lester Verde (Earth-616),0.2938339454,0.1509702558,,
marvel,Matthew Gilden (Earth-616),1.2866533441,0.3293868514,,
marvel,Gary Cody (Earth-616),1.2780630286,0.338636236,,
marvel,SJ3RX (Earth-616),0.2374223593,0.2221444745,,
marvel,Curtiss Jackson (Earth-616),0.3013843017,0.1665245794,,
marvel,Earthquake (Earth-616),0.2486644395,0.2682430904,,
marvel,Leong Coy Manh (Earth-616),0.2775433706,0.2252581867,,
marvel,Sunset Bain (Earth-616),0.1887488932,0.8879697014,,
marvel,Eugene Patilio (Earth-616),0.2699679234,0.2047033848,,
marvel,Victor Palermo (Earth-616),0.2671563812,0.234587253,,
marvel,Revanche (Kwannon) (Earth-616),1.1499356354,1.1089973934,,
marvel,Adrian Corbo (Earth-616),0.2766273609,0.2187397055,,
marvel,John Watkins III (Earth-616),0.2771622514,0.2201695788,,
marvel,John King (Earth-616),0.2913719652,0.1873205963,,
marvel,Brian Cruz (Earth-616),1.2587895433,0.3790085094,,
marvel,Amatsu-Mikaboshi (Earth-616),0.2933527068,0.1753551306,,
marvel,Maria Vasquez (Earth-616),0.1641925426,0.9451391193,,
marvel,Sinclair Abbott (Earth-616),1.277627116,0.3409743243,,
marvel,Jeff Brown (Earth-616),0.2381308445,0.291896522,,
marvel,Michele Gonzales (Earth-616),0.1416248212,0.9800643671,,
marvel,Darla Deering (Earth-616),0.1167736803,1.0001824891,,
marvel,Jia Jing (Earth-616),0.1230390232,1.0095641186,,
marvel,Trevor Hawkins (Earth-616),0.2352189719,0.2858553709,,
marvel,Anna Maria Marconi (Earth-616),0.1127631575,1.0249802912,,
dc,Carl Nelligan (New Earth),0.2249379105,0.3168451238,,
dc,Lady Turquoise (New Earth),0.1289510918,0.967565379,,
dc,Donald Fite (New Earth),0.2584850815,0.2475331207,,
dc,Eros (New Earth),0.2278164049,0.3105063502,,
dc,Nash (New Earth),1.1635237422,1.0585524035,,
dc,Joseph Higgins (New Earth),0.2619600536,0.2214858867,,
dc,Eric Morden (New Earth),0.2924358061,0.1754453095,,
dc,Wildstar (New Earth),0.15121165,0.9648505328,,
dc,Clyde Phillips (New Earth),1.2772033785,0.3368620792,,
dc,Valcan (New Earth),0.2636590625,0.2384012065,,
dc,Firehair (New Earth),0.2633084508,0.2192961683,,
dc,Kryb (New Earth),1.1639094832,1.0769983905,,
dc,Felicity (New Earth),1.1205420765,1.0699538671,,
dc,Nathaniel Tryon (New Earth),1.2862811246,0.3317507816,,
dc,Helena Kyle (New Earth),0.1303409692,0.9976574278,,
dc,Valda (New Earth),0.1577271329,0.953255198,,
dc,Thomas N. Thomas (New Earth),1.2590678942,0.3784894704,,
dc,Christopher Freeman (New Earth),0.2775108519,0.221312293,,
dc,Jarras Minion (New Earth),0.2749708974,0.2166087788,,
dc,Manitou Dawn (New Earth),0.16493209,0.9439605056,,
dc,Grant Wilson (New Earth),1.2864545922,0.3297072488,,
dc,Uno (New Earth),1.2614037216,0.3823863335,,
dc,Gavin King (New Earth),1.2612579388,0.3803489404,,
marvel,Claire Voyant (Earth-616),0.1403867903,1.0020026127,,
marvel,Heinz Kruger (Earth-616),1.2698800943,0.3559462876,,
marvel,Suwan (Earth-616),0.1747089403,0.9154831455,,
marvel,Jerold Morgan (Earth-616),0.2891435151,0.1788802749,,
marvel,Kaluu (Earth-616),0.2773867187,0.1269313903,,
marvel,Hyperion (Squadron Sinister) (Earth-616),1.2798172905,0.3174065415,,
marvel,Taj Nital (Earth-616),0.2553589157,0.1987768286,,
marvel,Robert Frank Jr. (Earth-616),0.2782915992,0.2218393335,,
marvel,Joseph Manfredi (Earth-616),0.3030281665,0.1679528367,,
marvel,Fritz von Meyer (Earth-616),0.2843889099,0.1018260505,,
marvel,Peter Quinn (Earth-616),1.2750283462,0.2794007014,,
marvel,Elysius (Earth-616),0.1649149003,0.9479998377,,
marvel,"Han, Chang, Lin, Sun, and Ho Tao-Yu (Earth-616)",0.3023173535,0.1650463652,,
marvel,Nga Coy Manh (Earth-616),0.1655562688,0.9509346266,,
marvel,Harry Osgood (Earth-616),0.2605617396,0.2368406825,,
marvel,Rose Palermo (Earth-616),0.1531345241,0.9565039611,,
marvel,Katherine Waynesboro (Earth-616),0.1615011593,0.9493802883,,
marvel,Black Fox (Thief) (Earth-616),0.2915898875,0.1452368202,,
marvel,Sheoke Sanada (Earth-616),0.1880174811,0.894398048,,
marvel,Bloodscream (Earth-616),0.2929870343,0.1510166985,,
marvel,Andrea Sterman (Earth-616),0.1461068587,0.9782618624,,
marvel,Achilles (Helmut) (Earth-616),1.2857610595,0.330820321,,
marvel,Jeremy Stevens (Earth-616),0.3014875752,0.1651549883,,
marvel,Stacy Arnheim (Earth-616),0.1604143209,0.9511175177,,
marvel,Garabed Bashur (Earth-616),0.3013277919,0.1666317147,,
marvel,Desiree Winthrop (Earth-616),0.1577036868,0.9568067518,,
marvel,Arlette Truffaut (Earth-616),0.1635359927,0.9381764679,,
marvel,Vincent Stewart (Earth-616),1.2604664718,0.3838811853,,
marvel,Adriana Soria (Earth-616),1.1731312952,1.0552603613,,
marvel,Maya Hansen (Earth-616),1.1347067848,1.1220979125,,
marvel,Axeman Bone (Earth-616),0.235420983,0.2082121162,,
marvel,Yuri Watanabe (Earth-616),0.1376660272,0.9952300069,,
dc,Wayne Tarrant (New Earth),0.2543321816,0.2572569643,,
dc,Daniel Evans (New Earth),0.2559975818,0.2585866153,,
dc,James Forrest (New Earth),0.2600031422,0.244245371,,
dc,Wyynde (New Earth),0.2609508871,0.2427089255,,
dc,Peter Cannon (New Earth),0.2699394554,0.2316218318,,
dc,Fero (New Earth),0.2714778165,0.2268818577,,
dc,Lambien (New Earth),0.2439118836,0.2725999946,,
dc,Paul Westfield (New Earth),1.2763166392,0.3373806556,,
dc,Anthony Zucco (New Earth),1.2795466219,0.337455126,,
dc,Kreon (New Earth),1.2550138496,0.391630634,,
dc,Rebecca Jones (New Earth),0.1800148084,0.8516587206,,
dc,Nicholas Kovak (New Earth),0.2776812671,0.2211041988,,
dc,Andrew Van Horn (New Earth),0.2684651036,0.1991086615,,
dc,Carmine Falcone (New Earth),1.2699278704,0.3159384757,,
marvel,Elizabeth Barstow (Earth-616),0.1545044534,0.9276348278,,
marvel,Dorrek VII (Earth-616),1.2790316973,0.3320337708,,
marvel,Frederick Duncan (Earth-616),1.2483576921,0.3977707018,,
marvel,William Drake (Earth-616),0.2430291885,0.2828550391,,
marvel,Yandroth (Earth-616),0.2942450861,0.1667345066,,
marvel,Michael Marko (Earth-616),0.2940255579,0.176078287,,
marvel,Cornelius van Lunt (Earth-616),1.2806124702,0.3358010841,,
marvel,Shuma-Gorath (Multiverse),0.2920788192,0.1335281391,,
marvel,Curtis Carr (Earth-616),0.2771315873,0.2179095964,,
marvel,Gabriel (Devil-Hunter) (Earth-616),0.2691572084,0.2244132713,,
marvel,Condor (Nova Foe) (Earth-616),0.2928991816,0.1298110222,,
marvel,Griffin Gogol (Earth-616),0.275597293,0.2150867918,,
marvel,Nicholas Fury (LMD) (Earth-616),1.2595600779,0.3648461821,,
marvel,Alan Fagan (Earth-616),0.2904349445,0.1380692716,,
marvel,Lorina Dodson (Earth-616),0.181597879,0.8770492721,,
marvel,Phastos (Earth-616),0.2775786871,0.2189411808,,
marvel,Abigail Wright (Earth-616),0.1340486553,0.9865700126,,
marvel,Aaron Chord (Earth-616),0.3015254943,0.1663154767,,
marvel,Ajax (Pantheon) (Earth-616),0.2755109994,0.2192831716,,
marvel,Paibok (Earth-616),0.2954313362,0.1522065863,,
marvel,Jillian Woods (Earth-616),0.1624073375,0.9399626015,,
marvel,Clarice Ferguson (Earth-616),0.1584597519,0.9321679401,,
marvel,Andrea Roarke (Earth-616),0.1787799406,0.8474095125,,
marvel,Giacomo Fortunato (Earth-616),0.2701370636,0.2281483641,,
marvel,Pierre Fresson (Earth-616),0.3023543146,0.1672813914,,
marvel,Adrienne Frost (Earth-616),1.1658116738,1.0562172922,,
marvel,Trey Rollins (Earth-616),1.2595793034,0.3777477167,,
marvel,Mister X (Earth-616),0.3024505421,0.1671336708,,
marvel,Kevin Cole (Earth-616),0.2768700285,0.2183620854,,
marvel,Janet Stein (Earth-616),1.1614725251,1.0684971292,,
marvel,Leslie Dean (Earth-616),1.1631975673,1.0732959447,,
marvel,Kelsey Leigh (Earth-616),0.1651730506,0.9458543375,,
marvel,Overdrive (Earth-616),0.2363843956,0.3035512769,,
marvel,Carson Wyche (Earth-616),0.2335971179,0.2649061168,,
marvel,Cul Borson (Earth-616),0.2501435981,0.1431556238,,
marvel,Kade Kilgore (Earth-616),0.267417645,0.2275688899,,
dc,Stella Maxwell (Dakotaverse),0.1574061793,0.9506311436,,
dc,Streaky (New Earth),0.2214553603,0.2249245606,,
dc,Tannarak (New Earth),0.2976223108,0.1765266809,,
dc,Ladonna Jameal (New Earth),0.1594741833,0.9473418396,,
dc,Karu-Sil (New Earth),0.1829067496,0.9043742863,,
dc,Zoanne Wilkins (New Earth),0.1579972246,0.9540796599,,
dc,Cronus (New Earth),0.2757406439,0.1175401236,,
dc,Aristides Demetrios (New Earth),0.2762414017,0.2193347472,,
dc,Steppenwolf (New Earth),1.2710327323,0.2991034731,,
dc,Theodore Bruder (New Earth),0.2660068256,0.217151662,,
dc,Freak (New Earth),0.1677316311,0.9554994652,,
dc,Holly Granger (New Earth),1.1426213334,1.0960377189,,
dc,Victor Darge (New Earth),0.2696843602,0.2236091269,,
dc,Guillermo Barrera (New Earth),0.3022095814,0.1652398389,,
dc,Albert Michaels (New Earth),0.3024620867,0.1670879177,,
dc,Kirk DePaul (New Earth),1.2546303464,0.3887573094,,
marvel,Janice Cord (Earth-616),1.1367456975,1.1263537413,,
marvel,Lani Ubanu (Earth-616),0.1777395305,0.8410335841,,
marvel,Set (Earth-616),0.2827877836,0.1274446342,,
marvel,Kondrati Topolov (Earth-616),1.2372172468,0.4371769344,,
marvel,Dansen Macabre (Earth-616),1.1664883493,1.0399647357,,
marvel,Jason Strongbow (Earth-616),0.2771765525,0.2178482142,,
marvel,Roberta (Earth-616),0.1484191839,0.9715233525,,
marvel,Alison Double (Earth-616),0.1528922856,0.9635336262,,
marvel,Elton Healey (Earth-616),1.2850581028,0.3216600778,,
marvel,Ogun (Ninja) (Earth-616),0.303022919,0.1679736336,,
marvel,Autumn Rolfson (Earth-616),1.1231880432,1.1591227581,,
marvel,Skullbuster (Earth-616),0.2885803502,0.1191656852,,
marvel,Lenny Ballinger (Earth-616),0.2662719071,0.2370016571,,
marvel,Carol Hines (Earth-616),1.1744703781,1.0606542185,,
marvel,Louise Hastings (Earth-616),1.1480459545,1.1079592344,,
marvel,Candra (Earth-616),1.1242022723,1.1610151021,,
marvel,James Hudson (Clone) (Earth-616),1.2612108746,0.3804186414,,
marvel,White Tiger (Evolved Tiger) (Earth-616),0.1507949336,0.9215574104,,
marvel,Donald Callahan (Earth-616),0.2696500238,0.133237972,,
marvel,George W. Bush (Earth-616),0.234842414,0.2897331833,,
marvel,Sophie Cuckoo (Earth-616),1.1458256054,1.1137665276,,
marvel,Shola Inkose (Earth-616),0.2707847165,0.2297453287,,
marvel,Robert Minoru (Earth-616),1.2734596269,0.3428206893,,
marvel,Maximus Jensen (Earth-616),1.2807006277,0.3141272103,,
marvel,Lambda-Zero (Earth-616),1.114766336,1.1339664945,,
marvel,Bride of Nine Spiders (Earth-616),1.1289260661,1.0704321546,,
marvel,Delphyne Gorgon (Earth-616),0.1005118357,0.9726828135,,
marvel,Timothy Cababa (Earth-616),0.2363509763,0.2650251759,,
marvel,Aiden (Earth-616),0.2335907739,0.2665115512,,
marvel,Cullen Bloodstone (Earth-616),0.1966774789,0.3453725457,,
marvel,Rebecca Ryker (Earth-616),0.0970359651,1.0637730806,,
dc,Brian Arsala (New Earth),1.2370720337,0.4125737729,,
dc,Nicholas Bromfield (New Earth),0.2531244934,0.2498930596,,
dc,Ace Arn (New Earth),0.2591127649,0.2176599194,,
dc,Alicia Collins (New Earth),0.1551237206,0.9547679898,,
dc,Santiago Vargas (New Earth),0.2710006212,0.2276284042,,
dc,Lyle Bolton (New Earth),0.298430054,0.1712469779,,
dc,Liam McHugh (New Earth),0.2736306392,0.2257783007,,
dc,Phobos (New Earth),0.2791504031,0.1244270534,,
dc,Alix Harrower (New Earth),0.1453502228,0.8825787305,,
dc,Atlee (New Earth),0.1532002204,0.8986583488,,
dc,Kent Connor (New Earth),1.2871659541,0.3343283721,,
dc,David Clark (New Earth),0.2771727503,0.2218580556,,
dc,Father Time (New Earth),0.2518725067,0.2750339821,,
dc,Walter Johnson I (New Earth),1.2552213989,0.3890342501,,
dc,Wayne Hawkins (New Earth),1.2610725744,0.3806398471,,
dc,Anton Lamont (New Earth),0.2921090391,0.1484591547,,
dc,Otis Flannegan (New Earth),1.280800863,0.3378099949,,
marvel,Wong-Chu (Earth-616),1.2748797384,0.3457353996,,
marvel,Lucifer (Lightbearer) (Earth-616),0.2756451029,0.1132381682,,
marvel,Zarek (Earth-616),0.2968529658,0.1785893292,,
marvel,Typhon (Earth-616),0.2970409375,0.18051749,,
marvel,George Smith (Earth-616),0.271159392,0.2305447488,,
marvel,Lupo (Earth-616),0.2850896806,0.1046658071,,
marvel,Hebe (Earth-616),0.1565365928,0.9367104676,,
marvel,Tongah (Earth-616),0.2586507523,0.2454647407,,
marvel,Zala Dane (Earth-616),1.1751891998,1.0560058549,,
marvel,Deacon Frost (Earth-616),1.2608531523,0.2784311774,,
marvel,Kamo Tharnn (Earth-616),1.2731482056,0.3442388831,,
marvel,Buford Hollis (Earth-616),0.2775963281,0.2212307474,,
marvel,Tamara Hashioka (Earth-616),0.1190085697,1.0359713995,,
marvel,Sigyn (Earth-616),0.1652900121,0.9456480106,,
marvel,Magda Eisenhardt (Earth-616),1.1346464728,1.1262148892,,
marvel,Mike Farrell (Earth-616),1.2805760962,0.3355509545,,
marvel,Calypso Ezili (Earth-616),1.1686742755,1.0614240855,,
marvel,Lois London (Earth-616),0.1827243861,0.9006953516,,
marvel,Lucinda Guthrie (Earth-616),0.1561985818,0.9513261146,,
marvel,Wallace Jackson (Earth-616),0.2618785609,0.2207058609,,
marvel,Pretty Boy (Earth-616),0.3008697378,0.1593732471,,
marvel,Perun (Earth-616),0.2750551919,0.2159737486,,
marvel,Roughouse (Earth-616),0.3012478,0.1655447116,,
marvel,Desmond Marrs (Earth-616),1.2635861214,0.3423126309,,
marvel,Walter Rosen (Earth-616),0.268121376,0.2260887435,,
marvel,Adam Crown (Earth-616),1.258752718,0.3790611977,,
marvel,Donald Clendenon (Earth-616),0.251663821,0.2713057202,,
marvel,Curtis Elkins (Earth-616),0.2755036972,0.2205296233,,
marvel,Donna Diego (Earth-616),1.1129985934,1.1439536094,,
marvel,Jean-Luc LeBeau (Earth-616),0.2493450141,0.2697229114,,
marvel,Jasmine Destine (Earth-616),0.1649904427,0.9438696327,,
marvel,Paradox (Strange) (Earth-616),0.2529242742,0.1726897648,,
marvel,Gregory Herd (Earth-616),0.2510430289,0.2763353601,,
marvel,"Nicholas Fury (LMD, Heroes Reborn) (Earth-616)",0.2823649236,0.1955208997,,
marvel,T-Ray (Earth-616),1.2776515152,0.3088560676,,
marvel,Litterbug (Earth-616),0.2371883199,0.2265994946,,
marvel,Gabriel Stacy (Earth-616),0.2476180042,0.2724785559,,
marvel,Shingen Harada II (Earth-616),0.2707162747,0.2232394531,,
dc,Bethany Snow (New Earth),0.157383712,0.9215853514,,
dc,Ishido Maad (New Earth),0.2584900729,0.2475369049,,
dc,Nora Bromfield (New Earth),0.1411373916,0.9755694995,,
dc,Mary Seward (New Earth),0.1517689149,0.8745486041,,
dc,Gavril Ivanovich (New Earth),0.2602490943,0.2461429872,,
dc,John Raymond (New Earth),0.2677237056,0.235169776,,
dc,Henry Bucher (New Earth),0.2696204887,0.2378730493,,
dc,Ringo Chen (New Earth),1.2213480268,0.4557429958,,
dc,Marie Payton (New Earth),0.1261543737,1.0198190826,,
dc,Leonard Smalls (Dakotaverse),0.2962198079,0.174749544,,
dc,Moses Lwanga (New Earth),0.2714147535,0.2270385304,,
dc,Doctor Moon (New Earth),1.2837371225,0.339739836,,
dc,Elizabeth Clawman (New Earth),0.1565367648,0.9563865997,,
dc,Himon (New Earth),0.2332981138,0.2667386181,,
dc,Ghost Fox Killer (New Earth),0.1272430294,0.9488444061,,
dc,Benjamin Hunter (New Earth),0.2699723888,0.2271633284,,
dc,Hero Cruz (New Earth),0.272199493,0.2241137499,,
dc,Fringe (New Earth),0.2542180906,0.1495884615,,
dc,Steven Sharpe III (New Earth),1.2762679254,0.3107695581,,
dc,Avruiskin of Pokolistan (New Earth),1.2870622325,0.330547845,,
dc,Rafael Sandoval (New Earth),0.2770298562,0.218102695,,
dc,Ivana Christina Borodin Molotova (New Earth),1.1672163965,1.0400492111,,
dc,Roy Lincoln (New Earth),1.2619529168,0.3832249127,,
marvel,It the Living Colossus (Earth-616),0.2404942783,0.222830614,,
marvel,Bruce Olafsen (Earth-616),0.2946042771,0.1711221323,,
marvel,Maha Yogi (Earth-616),0.3029411286,0.1680877041,,
marvel,Ralph Roberts (Earth-616),1.2849385408,0.3245710232,,
marvel,Seth (Atlantean) (Earth-616),0.2687995572,0.2342896926,,
marvel,Veronica Dultry (Earth-616),0.1765128026,0.8367756821,,
marvel,Brian DeWolff (Earth-616),1.2216732321,0.4276680916,,
marvel,Davan Shakari (Earth-616),0.2904388961,0.1160167448,,
marvel,Woodgod (Earth-616),0.2734622941,0.2065444263,,
marvel,Nezarr (Earth-616),0.2410555584,0.2444062389,,
marvel,Randall Darby (Earth-616),0.2997219018,0.1626886319,,
marvel,Carmen Pryde (Earth-616),1.2520710153,0.3887611381,,
marvel,Detective Flint (Earth-616),0.272453739,0.2200921532,,
marvel,Fireflyte (Earth-616),0.1253585163,0.9718589099,,
marvel,Alain Racine (Earth-616),0.2762576372,0.2181000235,,
marvel,Wolf (Thunderiders) (Earth-616),0.2688719094,0.231041481,,
marvel,Stanley Carter (Earth-616),1.2855875966,0.3276054269,,
marvel,Margaret Murdock (Earth-616),0.1453897581,0.9737443328,,
marvel,Thomas Maximoff (Earth-616),1.2331524899,0.4315904233,,
marvel,William Maximoff (Earth-616),1.2331524899,0.4315904233,,
marvel,Ariel (Coconut Grove) (Earth-616),0.1493602939,0.9555493576,,
marvel,Tath Ki (Skrull) (Earth-616),0.2886539016,0.1629687654,,
marvel,Luis Alvarez (Earth-616),1.2811190277,0.339073331,,
marvel,Anne Marie Hoag (Earth-616),0.1490663117,0.9608674106,,
marvel,Dinah Soar (Earth-616),1.1455931533,1.1040625944,,
marvel,Alex Flores (Earth-616),0.1642512873,0.9473113797,,
marvel,Eisenhower Canty (Earth-616),0.2761428191,0.2195153677,,
marvel,Zachary Moonhunter (Earth-616),0.2502032641,0.2638310379,,
marvel,Adam Neramani (Earth-616),0.2773680938,0.219844647,,
marvel,Victor Slaughter (Earth-616),0.2631325625,0.1376250854,,
marvel,Jaine Cutter (Earth-616),0.1112772018,1.0443130358,,
marvel,Walter Destine (Earth-616),0.2746095743,0.2166884037,,
marvel,Rina Patel (Earth-616),0.1597977685,0.955261005,,
marvel,Cassandra Nova Xavier (Earth-616),0.1864358267,0.8851937626,,
marvel,Thialfi (Earth-616),0.2512520928,0.2528744443,,
marvel,Shortpack (Earth-616),0.2755394776,0.2152226676,,
marvel,Kyle Jinadu (Earth-616),0.2447102015,0.2668617609,,
marvel,Manuel Enduque (Earth-616),0.2630244339,0.2265603141,,
dc,Kit Ryan (New Earth),0.139060095,0.9761316294,,
dc,Lois Lane Robot (New Earth),0.1163825328,1.0371222028,,
dc,Sharon Hawkins (Dakotaverse),0.1416792366,0.9747071238,,
dc,Ciji (New Earth),0.1430738985,0.9645217185,,
dc,James Lenahan (New Earth),1.2429973377,0.4066849475,,
dc,Mara (New Earth),0.1363258913,0.9227477897,,
dc,Robert Dickering (New Earth),0.2673946131,0.2321976348,,
dc,Gilotina (New Earth),0.1771996983,0.8945534951,,
dc,Richard Raleigh (New Earth),1.2492390561,0.3788141262,,
dc,Simyan (New Earth),0.2898312463,0.1787066771,,
dc,Anton Knight (Earth-One),0.2914950166,0.1616900001,,
dc,Sofia Falcone (New Earth),1.168904312,1.0567074662,,
dc,Trogg (New Earth),0.2983338266,0.1713946985,,
dc,Forager I (New Earth),1.2588880048,0.3881286819,,
dc,Jillian Pearlman (New Earth),0.1582944389,0.9558909377,,
dc,Michael Payson Maxwell (New Earth),1.2602937014,0.3841221794,,
dc,Lup\u00e9 Teresa Leocadio-Escudero (New Earth),0.1567168863,0.9508580631,,
dc,Thia (New Earth),0.1167484945,0.9559772844,,
dc,Themis (New Earth),0.130637241,1.0039429627,,
dc,Arnold Pruett (New Earth),0.2849931825,0.1160659254,,
dc,Daniel Tsang (New Earth),0.2718331316,0.2334680681,,
dc,Josiah Power (New Earth),0.2672527825,0.2390723871,,
dc,Dominic Mndawe (New Earth),1.2604334525,0.3816541028,,
dc,Lynx (New Earth),1.1742252241,1.0535185974,,
dc,Cindy Burman (New Earth),0.1813956913,0.8907898028,,
marvel,Jack Castle (Earth-616),1.253113947,0.3754575136,,
marvel,Philo Zogolowski (Earth-616),1.2356714884,0.4147365181,,
marvel,Elton Morrow (Earth-616),0.2726253277,0.2132866658,,
marvel,Gregor Shapanka (Earth-616),1.2849406398,0.3245627045,,
marvel,Urd (Earth-616),0.1372878672,0.9847919502,,
marvel,Karl Kaufman (Earth-616),1.258341173,0.3837288465,,
marvel,Madeline Bass (Earth-616),0.1198184835,1.0223125216,,
marvel,Edward March (Earth-616),0.2693609517,0.2240966582,,
marvel,Nebulon (Earth-616),1.2727337329,0.2815214667,,
marvel,Terrance Sorenson (Earth-616),0.2465704673,0.2802011989,,
marvel,Tyrak (Earth-616),0.292070502,0.1875241765,,
